segment_value,transformed_feature,base_feature,importance
Flat,num__facility_group_education_count_1km,facility_group_education_count_1km,0.003300110809504986
Flat,num__log_distance_to_nearest_road,log_distance_to_nearest_road,0.003289776621386409
Flat,cat__Transaction_code_148,Transaction_code,0.0032148661557585
Flat,num__longitude,longitude,0.0032056441996246576
Flat,cat__GP_GANGADHARPUR,GP,0.0032025810796767473
Flat,num__distance_to_nearest_road_missing_flag,distance_to_nearest_road_missing_flag,0.0031330790370702744
Flat,cat__Transaction_code_138,Transaction_code,0.00311981956474483
Flat,num__facility_group_market_count_1km,facility_group_market_count_1km,0.0031046674121171236
Flat,cat__Transaction_code_307,Transaction_code,0.003087814198806882
Flat,cat__Transaction_code_204,Transaction_code,0.0030807149596512318
Flat,num__distance_to_nearest_facility_missing_flag,distance_to_nearest_facility_missing_flag,0.003072861349210143
Flat,num__Rural_flag,Rural_flag,0.003027907805517316
Flat,"cat__Transaction_Name_[0101] Sale, Sale Document",Transaction_Name,0.0029969788156449795
Flat,cat__nearest_road_category_Urban Road,nearest_road_category,0.0029610476922243834
Flat,cat__Road_Name_UMR W14,Road_Name,0.0029569431208074093
Flat,num__distance_to_nearest_road,distance_to_nearest_road,0.0029138734098523855
Flat,num__presentation_hour,presentation_hour,0.0029104219283908606
Flat,cat__Mouza_Name_Gangadharpur,Mouza_Name,0.002888888120651245
Flat,cat__Transaction_code_101,Transaction_code,0.0028864399064332247
Flat,num__facility_count_1km,facility_count_1km,0.002885630587115884
Flat,cat__GP_KANDUA,GP,0.0028223299887031317
Flat,cat__Transaction_code_201,Transaction_code,0.002804320538416505
Flat,cat__Transaction_code_207,Transaction_code,0.0028020029421895742
Flat,cat__Mouza_Name_Ichhlabad,Mouza_Name,0.002763353521004319
Flat,cat__Transaction_code_1401,Transaction_code,0.0027099293656647205
Flat,num__facility_count_500m,facility_count_500m,0.0026996040251106024
Flat,cat__Mouza_Name_Bahirsarbamangala,Mouza_Name,0.002688722452148795
Flat,cat__Road_code_0163,Road_code,0.002665968146175146
Flat,cat__nearest_facility_group_education,nearest_facility_group,0.002659884048625827
Flat,cat__Road_code_0169,Road_code,0.00264658872038126
Flat,cat__Mouza_Name_Nabghara,Mouza_Name,0.002620880724862218
Flat,cat__nearest_facility_group_other,nearest_facility_group,0.0026206346228718758
Flat,cat__Road_Name_Sadarghat Road,Road_Name,0.00260162353515625
Flat,num__registration_quarter,registration_quarter,0.002598831197246909
Flat,num__registration_presentation_gap_days,registration_presentation_gap_days,0.002590575721114874
Flat,cat__Zone_no_1,Zone_no,0.002585384761914611
Flat,"cat__Transaction_Name_[0201] Gift, Gift  in Favour of family members",Transaction_Name,0.0025556660257279873
Flat,cat__Road_Name_UMR W12,Road_Name,0.002544099697843194
Flat,num__distance_to_nearest_facility,distance_to_nearest_facility,0.0025334558449685574
Flat,num__presentation_dayofweek,presentation_dayofweek,0.0025259563699364662
Flat,cat__nearest_facility_group_health,nearest_facility_group,0.0025237821973860264
Flat,cat__Road_Name_B.B. Ghosh Road,Road_Name,0.002492759609594941
Flat,cat__Transaction_code_501,Transaction_code,0.002459646435454488
Flat,cat__Transaction_code_403,Transaction_code,0.0024577972944825888
Flat,num__log_distance_to_nearest_facility,log_distance_to_nearest_facility,0.0024486000183969736
Flat,cat__PS_Name_Kanksa,PS_Name,0.0023923064582049847
Flat,cat__Transaction_code_104,Transaction_code,0.0023912135511636734
Flat,cat__Mouza_Name_Panchla,Mouza_Name,0.0023876677732914686
Flat,cat__Mouza_Name_Khaje  Anwarber,Mouza_Name,0.0023653560783714056
Flat,num__property_geometry_area,property_geometry_area,0.002358832862228155
Flat,cat__property_district_Name_Howrah,property_district_Name,0.0023292244877666235
Flat,num__facility_group_other_count_1km,facility_group_other_count_1km,0.0023267243523150682
Flat,"cat__Transaction_Name_[1401] Power of Attorney related to immovable properties, General Power of Attorney related to immovable properties",Transaction_Name,0.0022979043424129486
Flat,"cat__Transaction_Name_[0104] Sale, Sale agreement without possession [Full Stamp]",Transaction_Name,0.0022938766051083803
